periods_n,posts_total,vol_tv_mean,vol_tv_p90,turn_rate,entropy_mean,hhi_mean,top1_mean
10,715,0.3047247541837015,0.3507598460656677,0.1111111111111111,2.383843131508678,0.1406214166357453,0.29818103493123177
12,497,0.5161276320372283,0.7087912087912087,0.8181818181818182,2.146267848411155,0.1842751028426608,0.3070588951210714
8,892,0.4037491852777547,0.4563494343993114,1,2.48128993104195,0.11958619339312768,0.24199100836811674
5,908,0.2991727796252905,0.34133712688951634,0.5,2.788598600133233,0.07900201767649073,0.15065260123563715
14,951,0.31204716263541105,0.35268261150614094,0.7692307692307693,2.3923306772905115,0.11752198606105872,0.2121988788066211
3,892,0.35964601753113884,0.4911299384625897,0.5,2.229590960110153,0.18648361974071256,0.3705199360709446
5,798,0.16395803318211274,0.19338407638316732,0,1.5600414895693284,0.26450265126987726,0.37590342856974196
3,963,0.25436280137772677,0.2888212782242633,1,2.8652913627316994,0.08173676275361041,0.18909162976327154
18,504,0.5888431258365003,0.7311111111111112,0.8235294117647058,2.078665820016435,0.18968438027441561,0.3073362892064042
14,914,0.2930837295937428,0.39235051463815135,0.3076923076923077,2.1068590035103663,0.19697859178033927,0.32930117114416746
6,969,0.22860324410567207,0.2777073836075943,0.4,2.7131385496672675,0.08199258526529175,0.14355798541688927
9,918,0.39124386314830123,0.5337570521560755,0.25,2.263284997043713,0.1437004146283683,0.2515516646425189
22,885,0.43593074968876977,0.7324940991345397,0.38095238095238093,1.5075851508175875,0.3442604759471755,0.47851474197091676
10,483,0.2984772976129915,0.47082854427802157,0.2222222222222222,1.49174015723908,0.3441005745712623,0.5068801529324489
2,946,0.23750574712643677,0.23750574712643677,1,3.111424936918489,0.052974754392918474,0.10316091954022988
16,429,0.415180368963971,0.5404684684684685,0.7333333333333333,1.7429204847763422,0.244674485828698,0.38825609547882556
3,887,0.3643846641492792,0.4903578181417271,1,2.5628076032405125,0.09899479599496652,0.1669542368365444
14,825,0.44585036597326294,0.6584149326805386,0.5384615384615384,1.8086344188216203,0.26436989719862997,0.42872670099195204
16,497,0.5504249628168059,0.7166985380297328,0.7333333333333333,2.1201109111158143,0.1738438204012171,0.3081476942811025
16,563,0.6336256504141667,0.9641325536062377,0.7333333333333333,1.7528402055890413,0.2851292478545492,0.44130953901534387
2,992,0.44297889187556,0.44297889187556,1,2.6152385519326704,0.10313133425310617,0.20484049092538184
16,850,0.7389344890376596,0.9067396313364056,0.8666666666666667,1.8729073717941596,0.27839408445504943,0.40009686469148176
9,195,0.37604608762697,0.5757142857142856,0.25,1.3885868156629944,0.3641177053788712,0.5173983650699338
2,813,0.4818269230769231,0.4818269230769231,0,2.311624359629038,0.13715194156804736,0.26572115384615386
4,880,0.38399140759433886,0.4617844458288643,0,2.120565243874804,0.21467988788507408,0.38649373824485095
4,991,0.2828813078752707,0.3149249466177744,1,3.043021569122141,0.05852429640619965,0.11920756245194786
7,1013,0.1345984526147808,0.1491758241758242,0.5,1.427084562387868,0.3137052000172288,0.42296882436432937
2,989,0.21377598926894703,0.21377598926894703,1,2.875995214753444,0.07972084457961222,0.16515314106863405
4,1007,0.3031612202026101,0.37383263985205734,0.6666666666666666,2.791400844632979,0.09577532390528538,0.2161623719492907
15,687,0.5931116543107183,0.7551282051282052,0.6428571428571429,2.1662462624332877,0.17542455632720003,0.29027166153007095
7,876,0.4049850394000149,0.5275380226915484,1,2.6670257288004255,0.10028996057681809,0.1932692881708659
15,198,0.3670855929784501,0.6538461538461541,0.42857142857142855,1.1088193835678044,0.40644932885361207,0.5312942612942613
12,319,0.6322045494841944,0.9230769230769231,0.5454545454545454,1.4671850891022453,0.3553537999508172,0.5081866376888571
9,1001,0.404341439597142,0.4910604407824365,0.75,2.4353864481375407,0.14380616302776333,0.260278646094337
11,993,0.2823870878358648,0.35620400105575784,0.1,2.4611424978527046,0.11784931746632225,0.24129268329204712
6,909,0.34848262446483086,0.38675499517190803,0.8,2.6725551894880044,0.09025562566130162,0.16355642248480592
2,885,0.28576310907137975,0.28576310907137975,0,2.9736885534595494,0.06579360228759334,0.14144126550141586
8,137,0.3460444589735207,0.44130434782608696,0,0.6011649745426635,0.6945889800181726,0.7984199891451036
6,362,0.516849558536865,0.9146216691804927,0.4,0.9200535762195211,0.6001048238747323,0.7500243480958136
11,999,0.3495978254780233,0.4374039372812491,0.5,2.543832860645231,0.11501132385441647,0.2244415506982623
7,994,0.3732683229211223,0.5006661795152845,0.6666666666666666,2.681630127264269,0.09436414687571403,0.18715088572046443
15,1011,0.28303761010759526,0.3934122771199129,0.7857142857142857,2.421249809362241,0.11557661505461113,0.2095706897623491
2,814,0.1871737727992493,0.1871737727992493,1,3.0261922784622244,0.05878549799445444,0.10313911207553808
5,971,0.4073476713723134,0.5186079545454545,0.75,2.592642154931831,0.10028886939019224,0.19544168279713434
4,954,0.3365218148187008,0.3769305333220526,0,2.2410968442856527,0.17565000501559175,0.3497592742869028
5,980,0.21228967579497238,0.2598275454760217,0,2.4966962408749005,0.1132296779842362,0.20589417883228212
4,934,0.27543970135720475,0.44845159905160603,0.3333333333333333,1.8758660411300097,0.3018071563621003,0.4869695949839742
